date,open,high,low,close,volume
2015-01-01,7118.583984375,7118.583984375,7118.583984375,7118.583984375,0
2015-01-02,7118.583984375,7118.583984375,7118.583984375,7118.583984375,0
2015-01-05,7118.583297955547,7118.583297955547,7088.92236328125,7088.92236328125,1270255
2015-01-06,7044.43432985543,7133.41650390625,7044.43432985543,7133.41650390625,1690501
2015-01-07,7133.414837109039,7177.90625,7133.414837109039,7177.90625,1883257
2015-01-08,7163.073634982104,7163.073634982104,7103.752441406251,7103.75244140625,1055489
2015-01-09,7103.754473052263,7163.07568359375,7103.754473052263,7163.07568359375,1486926
2015-01-12,7163.074998208926,7207.56640625,7163.074998208926,7207.56640625,3153234
2015-01-13,7177.907990383972,7222.3994140625,7177.907990383972,7222.3994140625,1124029
2015-01-14,7222.396875597024,7222.396875597024,7207.56640625,7207.56640625,1955511
2015-01-15,7237.22988862201,7237.22988862201,7222.3994140625,7222.3994140625,1309076
2015-01-16,7237.2297037922735,7237.2297037922735,7192.73828125,7192.73828125,809564
2015-01-19,7192.735655688368,7192.735655688368,7118.583984375,7118.583984375,1704292
2015-01-20,7118.583984375,7118.583984375,7118.583984375,7118.583984375,1597443
2015-01-21,7148.245308072693,7177.90625,7148.245308072693,7177.90625,2819870
2015-01-22,7207.566999457997,7207.566999457997,7148.245117187499,7148.2451171875,1389364
2015-01-23,7177.90625,7177.90625,7177.90625,7177.90625,1793728
2015-01-26,7177.90625,7177.90625,7177.90625,7177.90625,1783930
2015-01-27,7163.074718153974,7163.074718153974,7118.583984375,7118.583984375,1969627
2015-01-28,7103.752441406251,7103.752441406251,7103.752441406251,7103.75244140625,1210446
2015-01-29,7103.752441406251,7103.752441406251,7103.752441406251,7103.75244140625,1042301
2015-01-30,7118.584477882973,7118.584477882973,7044.43212890625,7044.43212890625,2727973
2015-02-02,7059.263482366087,7088.924425669675,7014.772067410707,7029.6025390625,101885
2015-02-03,7029.601971009506,7044.432441462868,6970.28076171875,6970.28076171875,96201
2015-02-04,7029.60187403367,7029.60187403367,6925.789254814958,6955.4501953125,142576
2015-02-05,6970.28095281136,7044.432634588372,6955.450481951415,6999.94189453125,84973
2015-02-06,7044.432425213306,7044.432425213306,6999.94168647854,7014.771484375,53113
2015-02-09,7074.093576308262,7074.093576308262,6999.94189453125,6999.94189453125,67582
2015-02-10,6999.941309464139,7014.7711065618705,6970.2803702233605,6985.11083984375,66547
2015-02-11,7014.77118931556,7044.43212890625,6999.94139204288,7044.43212890625,64731
2015-02-12,7103.752830618399,7148.243560107291,7088.92236328125,7088.92236328125,202052
2015-02-13,7118.583984375,7148.244249386777,7088.923046840605,7118.583984375,92328
2015-02-16,7118.583984375,7118.583984375,7118.583984375,7118.583984375,0
2015-02-17,7118.583984375,7118.583984375,7118.583984375,7118.583984375,0
2015-02-18,7118.583984375,7118.583984375,7118.583984375,7118.583984375,0
2015-02-19,7118.583984375,7118.583984375,7118.583984375,7118.583984375,0
2015-02-20,7118.583984375,7118.583984375,7118.583984375,7118.583984375,0
2015-02-23,7118.583984375,7118.583984375,7118.583984375,7118.583984375,0
2015-02-24,7118.583984375,7118.583984375,7118.583984375,7118.583984375,0
2015-02-25,7237.2297037922735,7266.889979630926,7177.907807069242,7192.73828125,241884
2015-02-26,7177.905068419708,7266.88720703125,7177.905068419708,7266.88720703125,128488
2015-02-27,7281.719749623122,7311.380695116235,7222.3985311596925,7237.22900390625,146245
2015-03-02,7266.889979630926,7266.889979630926,7177.907807069242,7192.73828125,218838
2015-03-03,7237.226357542653,7252.05615234375,7207.565422895355,7252.05615234375,99623
2015-03-04,7296.548808078206,7489.343571368402,7296.548808078206,7415.19189453125,461341
2015-03-05,7489.343571368402,7563.495920728223,7415.19189453125,7415.19189453125,182744
2015-03-06,7415.19189453125,7489.343571368402,7400.361424659286,7415.19189453125,155625
2015-03-09,7400.360949762962,7415.191418683225,7296.54833984375,7296.54833984375,192569
2015-03-10,7341.040415572992,7370.70068359375,7311.379475029549,7370.70068359375,152491
2015-03-11,7370.700795816098,7370.700795816098,7326.210056846227,7341.04052734375,136127
2015-03-12,7341.039746604537,7341.039746604537,7281.717870923488,7296.54833984375,170949
2015-03-13,7341.039746604537,7370.700011922438,7281.717870923488,7296.54833984375,132087
2015-03-16,7296.549020330752,7326.2099609375,7296.549020330752,7326.2099609375,99600
2015-03-17,7341.040217694098,7489.343571368402,7341.040217694098,7415.19189453125,333210
2015-03-18,7415.191505280079,7415.191505280079,7355.86962890625,7355.86962890625,106073
2015-03-19,7400.361736811144,7415.192207308666,7341.04052734375,7341.04052734375,117218
2015-03-20,7341.040996468227,7400.362209726503,7326.210525022972,7385.53173828125,132036
2015-03-23,7385.53116962831,7400.361639931683,7326.2099609375,7326.2099609375,127647
2015-03-24,7341.041617360859,7341.041617360859,7237.228980986526,7281.7197265625,162080
2015-03-25,7341.039746604537,7341.039746604537,7266.887402003225,7296.54833984375,102674
2015-03-26,7326.209864639688,7326.209864639688,7296.548924422812,7311.37939453125,128195
2015-03-27,7355.869543002175,7355.869543002175,7296.54833984375,7296.54833984375,105353
2015-03-30,7326.210287113822,7326.210287113822,7177.90625,7177.90625,191813
2015-03-31,7177.90625,7222.397662890962,7177.90625,7177.90625,108316
2015-04-01,7222.396294164776,7222.396294164776,7074.09228515625,7074.09228515625,125799
2015-04-02,7088.925753142277,7192.738401622046,7074.095278713328,7133.41650390625,78026
2015-04-03,7192.7375856665785,7237.229003906249,7133.415694680351,7237.22900390625,54162
2015-04-06,7237.2297037922735,7281.720453811683,7192.73828125,7192.73828125,78091
2015-04-07,7177.904488248056,7266.8866196674,7177.904488248056,7252.05615234375,69756
2015-04-08,7266.8866196674,7281.717086991049,7237.226357542653,7252.05615234375,75486
2015-04-09,7252.05615234375,7266.8866196674,7192.734955571705,7252.05615234375,120245
2015-04-10,7252.056933082963,7326.209277684275,7237.227136685325,7296.54833984375,160283
2015-04-13,7296.54833984375,7326.209277684275,7281.717870923488,7296.54833984375,76182
2015-04-14,7296.551114337167,7296.551114337167,7222.3994140625,7222.3994140625,104151
2015-04-15,7252.05615234375,7266.8866196674,7192.734955571705,7252.05615234375,103556
2015-04-16,7252.058804130008,7296.5502223696785,7222.3985311596925,7237.22900390625,70968
2015-04-17,7252.057564359655,7637.647772283438,7252.057564359655,7563.49609375,695457
2015-04-20,7563.497580475698,7563.497580475698,7400.3630486082275,7489.34521484375,166556
2015-04-21,7489.343571368402,7563.495920728223,7415.19189453125,7415.19189453125,122577
2015-04-22,7415.19189453125,7563.495920728223,7415.19189453125,7415.19189453125,250336
2015-04-23,7489.34521484375,7563.497580475698,7385.532575481838,7489.34521484375,297844
2015-04-24,7489.34521484375,7563.497580475698,7415.193521734617,7489.34521484375,124638
2015-04-27,7637.6484375,7785.952480006404,7563.496752508169,7637.6484375,295685
2015-04-28,7637.6484375,7637.6484375,7637.6484375,7637.6484375,0
2015-04-29,7637.6484375,7637.6484375,7637.6484375,7637.6484375,0
2015-04-30,7637.6484375,7637.6484375,7637.6484375,7637.6484375,0
2015-05-01,7637.6484375,7637.6484375,7637.6484375,7637.6484375,0
2015-05-04,7637.647819740294,7711.799498734477,7266.888079724004,7326.2099609375,379976
2015-05-05,7326.209747822134,7489.343571368402,7296.548808078206,7415.19189453125,206375
2015-05-06,7415.191505280079,7489.343178224732,7355.86962890625,7355.86962890625,188803
2015-05-07,7385.531833051942,7489.344461978099,7355.870889780827,7400.3623046875,122391
2015-05-08,7400.3623046875,7489.344461978099,7400.3623046875,7400.3623046875,111947
2015-05-11,7415.192094408914,7415.192094408914,7355.870213322028,7370.70068359375,106482
2015-05-12,7370.700011922438,7370.700011922438,7296.54833984375,7296.54833984375,117594
2015-05-13,7296.54833984375,7311.378808764012,7222.396667765062,7296.54833984375,218875
2015-05-14,7266.887984205936,7355.870132333885,7266.887984205936,7311.37939453125,132333
2015-05-15,7326.21114466127,7355.871417537653,7281.7197265625,7281.7197265625,103445
2015-05-18,7266.8892768765645,7296.5502223696785,7237.229003906249,7237.22900390625,229040
2015-05-19,7222.396667765062,7296.54833984375,7222.396667765062,7296.54833984375,121332
2015-05-20,7355.870183315542,7563.496093749999,7341.040385627001,7563.49609375,495875
2015-05-21,7563.496430412661,7860.103830271542,7489.344076055907,7785.9521484375,913321
2015-05-22,7785.9521591462435,7860.103841082273,7711.7998046875,7711.7998046875,297176
2015-05-25,7711.798707684194,8008.40673828125,7711.798707684194,8008.40673828125,554510
2015-05-26,7934.2568527887825,8008.408540867294,7860.1044921875,7860.1044921875,442831
2015-05-27,7860.103830271542,7934.256184628298,7711.799794080745,7785.9521484375,564991
